#! FIELDS idx_phi ves1.coeffs ves1.aux_coeffs index
#! SET time 30000.000000
#! SET iteration  30000
#! SET type LinearBasisSet
#! SET ndimensions  1
#! SET ncoeffs_total  13
#! SET shape_phi  13
       0         4.6217933714470139e+00         0.0000000000000000e+00       0
       1         6.9603957735192223e-01         4.0436819257028955e-01       1
       2        -1.5427151361919837e+01        -3.0224030235083159e+01       2
       3        -5.6949930248479026e+00        -5.9944654270410522e+00       3
       4         1.4709693092809523e+01         5.0056924515312078e+00       4
       5        -1.2397216483227618e+01        -1.3964295054120537e+01       5
       6        -2.2866698381555568e+00        -2.1898567406277318e+00       6
       7         3.5126342496949808e-01         1.4314867720101239e+00       7
       8        -4.0437044984130960e-01         7.8630396470066100e-01       8
       9         6.2434440618079423e-01        -1.1181745971965851e-01       9
      10         2.6220260291708586e-01         5.4140099525196461e-01      10
      11        -1.7844837704455857e-01        -9.7117786338393353e-02      11
      12        -1.3766926550354344e-01        -2.1250030807460085e-01      12
#!-------------------


